,task,status,trackerID,server,state,country,date
106,Extracting data from various sources,success,89328463593,3ee0:ac:6704:c165:6c9c:5232:23b5:fdae,New York,New York,2020-10-11 20:32:56
107,Data integration,success,89328463594,3235:8ff9:67ba:515b:2990:fb6c:b6f1:d139,Texas,Texas,2020-05-16 08:49:34
108,Extracting data from various sources,success,89328463595,f10d:e899:8a8e:2cec:316d:433d:3516:1f84,Queensland,Queensland,2020-11-21 07:49:23
109,Data integration,success,89328463596,40e8:999d:cd5c:c19f:5f46:b831:1c1e:e5e4,Paris,Paris,2020-10-11 23:30:42
110,Data quality assurance,success,89328463597,38b6:33dd:2bce:21e9:7353:3dab:e6c1:7be4,Ontario,Ontario,2020-11-06 22:50:46
111,Designing and implementing data models,success,89328463598,7618:619f:e246:32c2:53c1:b166:9b68:810a,Ontario,Ontario,2020-06-18 21:49:15
112,Data integration,success,89328463599,d329:2612:1bcd:357c:a759:c33e:1c64:92e9,Tokyo,Tokyo,2020-09-09 05:22:51
113,Designing and implementing data models,success,89328463600,c6c2:2b69:f833:4ddd:b326:e9cc:8f28:53fa,Queensland,Queensland,2020-05-01 15:07:21
114,Extracting data from various sources,success,89328463601,106c:1c94:9d9f:942e:1682:4c8a:9037:bcae,Tokyo,Tokyo,2020-09-09 12:51:05
115,Data governance,success,89328463602,9e8a:6280:6436:a282:5bdf:7d2f:6dbc:25be,Ontario,Ontario,2020-09-07 07:44:06
116,Extracting data from various sources,success,89328463603,afbb:b6f5:f0f4:9aa5:edc7:f4ff:c98e:eae8,Queensland,Queensland,2020-09-05 04:43:55
117,Data governance,success,89328463604,172:33a6:9a52:8024:3ef5:7c06:698:e8dd,Florida,Florida,2020-07-24 10:26:35
118,Data governance,success,89328463605,7d04:8c31:a8b1:945c:5cc5:9840:f59e:69a3,Paris,Paris,2020-10-16 21:24:27
119,Data quality assurance,-,89328463606,ab93:8433:8959:bf13:e03b:2fbd:ac78:ca7b,Texas,Texas,2020-04-03 06:02:20
120,Designing and implementing data models,success,89328463607,a982:21c7:32:e8e6:e40e:24d9:fc3f:ed1c,New York,New York,2020-09-25 16:43:20
121,Data integration,success,89328463608,c60a:e241:9999:bd77:a53b:2a97:2ab7:d4de,Ontario,Ontario,2020-07-05 01:31:45
122,Data quality assurance,success,89328463609,e213:8755:6e97:a12a:76b1:598e:59ce:b80c,New York,New York,2020-08-10 21:09:13
123,Data integration,failed,89328463610,6185:52be:4c86:deb2:cc1:54aa:8881:eb4,New York,New York,2020-08-25 18:57:37
124,Extracting data from various sources,failed,89328463611,febe:ff6:e098:2245:b9ad:9963:db30:fd49,Ontario,Ontario,2020-08-27 16:47:43
125,Optimizing database performance,-,89328463612,41cf:d957:e026:37d1:78e1:daaf:e5ca:b1a6,Florida,Florida,2020-10-16 05:16:09
126,Data integration,success,89328463613,52e0:8024:304d:4511:e526:aa66:fa50:5c7b,Paris,Paris,2020-10-27 11:53:15
127,Designing and implementing data models,-,89328463614,413e:b208:41cf:cd5:120d:b9c:d6c:f492,Paris,Paris,2020-05-31 06:05:32
128,Designing and implementing data models,success,89328463615,efa7:3f72:6b75:6a52:7ab5:5868:dc6:3d13,California,California,2020-05-11 13:59:21
129,Loading data into a data warehouse,success,89328463616,2ba:b9ea:f31d:1d74:5f73:ecbd:3b1d:72d0,Florida,Florida,2020-07-18 16:04:12
130,Data governance,success,89328463617,1751:eafe:2db7:2e1:9bee:bc6f:fa93:50d3,Queensland,Queensland,2020-08-06 07:58:57
131,Designing and implementing data models,success,89328463618,1c9c:7f5f:74d:e206:8071:6b29:3e97:5ced,Tokyo,Tokyo,2020-11-29 10:50:15
132,Data governance,success,89328463619,65aa:83d1:8f02:91b9:2a32:5f1c:7dc2:6828,Ontario,Ontario,2020-09-01 16:06:33
133,Extracting data from various sources,success,89328463620,3001:7e5a:ea40:699a:55f3:d8ed:6179:36b6,Texas,Texas,2020-09-15 17:42:54
134,Data integration,success,89328463621,aa88:829:a08f:84a9:87c0:8bcb:d71:dca1,New York,New York,2020-11-05 09:23:23
135,Transforming data into a unified format,success,89328463622,bf17:9758:bc23:fa47:11b1:f316:887f:5a62,Ontario,Ontario,2020-04-14 11:25:37
136,Data quality assurance,success,89328463623,9e45:994b:7a7d:ef2e:684f:3b06:c8d6:76cc,New York,New York,2020-09-30 15:49:43
137,Loading data into a data warehouse,success,89328463624,d65d:390a:cdd3:762b:da5f:f773:8012:1283,Tokyo,Tokyo,2020-07-03 06:28:03
138,Optimizing database performance,success,89328463625,7c0f:2f4e:db70:84a1:456:2d6a:3b9f:427c,California,California,2020-06-09 21:54:31
139,Building data pipelines,success,89328463626,f026:f696:2efa:98ab:eb98:892d:914:72ad,Tokyo,Tokyo,2020-11-04 17:23:51
140,Data quality assurance,-,89328463627,3b6b:3dcb:f84c:16f4:d2bc:1247:fb3c:91b2,Ontario,Ontario,2020-11-11 17:32:07
141,Data governance,success,89328463628,cd1a:8786:c69b:ff8:e728:e50:8551:dba0,California,California,2020-10-30 19:08:19
142,Data governance,success,89328463629,54ce:20b9:99ea:c086:5a82:cec5:3c0c:c0e5,Texas,Texas,2020-07-31 12:21:26
143,Loading data into a data warehouse,failed,89328463630,89eb:ae21:b646:eb04:2988:db13:436f:f38a,Tokyo,Tokyo,2020-04-29 17:08:12
144,Optimizing database performance,success,89328463631,5b4f:ee7:b9b9:9171:3363:dcdc:9cfc:ffec,Tokyo,Tokyo,2020-10-13 12:35:56
145,Extracting data from various sources,success,89328463632,4ac1:3bf2:9a68:ae72:f2f6:2721:7f05:35d6,Florida,Florida,2020-11-30 12:04:52
146,Extracting data from various sources,success,89328463633,5527:d760:f630:b3d:b8cb:92b9:8361:6ff7,Ontario,Ontario,2020-11-14 21:00:51
147,Loading data into a data warehouse,success,89328463634,f516:afb9:1966:4f55:6660:e9eb:261c:d81b,California,California,2020-05-03 15:39:41
148,Designing and implementing data models,-,89328463635,18cc:3611:8dca:a21a:4c86:ab42:5215:a6b9,Florida,Florida,2020-05-17 04:43:43
149,Optimizing database performance,success,89328463636,b5b:980e:e114:aa58:ac67:b9a3:c02a:caf2,Tokyo,Tokyo,2020-05-21 08:04:54
150,Extracting data from various sources,-,89328463637,d12b:342e:263b:19e7:12c9:798a:5cba:78c0,Tokyo,Tokyo,2020-06-18 13:12:59
151,Data governance,success,89328463638,c71f:2f9b:b9a:e393:7469:2759:f531:afba,Queensland,Queensland,2020-09-17 15:38:14
152,Data integration,success,89328463639,5262:ff87:6a6:9f7d:46c:6092:ad11:d441,Queensland,Queensland,2020-10-11 09:45:18
153,Extracting data from various sources,success,89328463640,ac2:c31f:9f83:3b56:56bb:7ef6:bd49:62d3,California,California,2020-06-20 22:50:32
154,Loading data into a data warehouse,success,89328463641,20a:e888:de3a:8d71:fdab:dede:dd6:855a,Ontario,Ontario,2020-07-15 05:58:29
155,Designing and implementing data models,success,89328463642,cc1a:5f68:2445:7c73:59e:4474:6066:c4ae,Queensland,Queensland,2020-06-06 05:17:43
156,Loading data into a data warehouse,success,89328463643,fdd8:bfbc:6dbf:3abe:93ec:7e8f:10c8:d226,New York,New York,2020-06-07 18:19:24
157,Transforming data into a unified format,success,89328463644,a0c7:bd76:37b6:a7d3:25dc:1c6d:379d:b0f2,Texas,Texas,2020-07-30 18:11:32
158,Data quality assurance,success,89328463645,dcdb:b6a5:33f8:66e6:f68c:8221:671d:4f03,Paris,Paris,2020-12-05 14:32:32
159,Transforming data into a unified format,success,89328463646,733d:85ed:4704:4122:718:18c7:3a62:6f71,Tokyo,Tokyo,2020-10-17 14:45:58
160,Transforming data into a unified format,-,89328463647,fb2f:974c:f287:85be:eea9:f1ec:f85e:8c68,Tokyo,Tokyo,2020-04-12 16:33:33
161,Extracting data from various sources,failed,89328463648,4034:6240:4c8b:e2b3:73f1:59f1:b6a6:8606,New York,New York,2020-08-08 09:58:09
162,Extracting data from various sources,success,89328463649,9f64:9c46:6c06:d4d4:5826:e259:5065:759d,Texas,Texas,2020-04-02 14:22:21
163,Extracting data from various sources,success,89328463650,826f:940e:4d74:e04c:3687:61d0:ae44:2b9a,New York,New York,2020-11-10 05:02:26
164,Loading data into a data warehouse,success,89328463651,c1c3:4bcf:591b:ad1:ca84:1851:e818:66ea,Texas,Texas,2020-09-22 17:26:44
165,Data quality assurance,success,89328463652,572e:4225:285b:f134:e54d:9fc:d503:ccae,Florida,Florida,2020-11-26 03:05:52
166,Loading data into a data warehouse,-,89328463653,55c:bca:497a:a6e9:e3d5:e454:e858:7ee,Tokyo,Tokyo,2020-04-11 19:40:00
167,Loading data into a data warehouse,success,89328463654,273f:d07:78be:70b2:abf5:6974:7df5:314e,Ontario,Ontario,2020-05-14 11:35:15
168,Optimizing database performance,success,89328463655,7fa9:21fa:1956:4b50:4e24:d7a5:22b5:1b81,New York,New York,2020-11-16 00:32:21
169,Extracting data from various sources,success,89328463656,c174:83e9:7a64:4a14:afe5:3e16:d600:5afa,Ontario,Ontario,2020-06-13 12:25:04
170,Optimizing database performance,success,89328463657,b86d:a1f4:27bf:504:5025:1792:568b:555b,Texas,Texas,2020-12-07 07:31:31
171,Extracting data from various sources,failed,89328463658,d088:f493:111e:7557:1433:23b4:6bc4:b6bf,Tokyo,Tokyo,2020-04-05 23:14:27
172,Extracting data from various sources,success,89328463659,9384:eaee:4434:5902:5513:f879:a294:b888,Paris,Paris,2020-04-30 12:25:23
173,Building data pipelines,success,89328463660,b1f1:952:3fc0:5c18:8c09:a9d5:c50e:4c5a,Paris,Paris,2020-05-06 00:06:08
174,Extracting data from various sources,success,89328463661,9024:e471:17ec:e092:208a:a083:6387:9c2c,Paris,Paris,2020-10-28 21:21:05
175,Extracting data from various sources,success,89328463662,17b5:61ba:2f78:7da7:2917:38b3:560c:9950,Texas,Texas,2020-04-25 22:30:49
176,Optimizing database performance,success,89328463663,1d09:3582:cddd:4943:cf42:2628:4106:c7d3,New York,New York,2020-08-08 07:08:56
177,Loading data into a data warehouse,success,89328463664,e603:85ab:9755:c3d9:7000:cbb0:33c2:97c0,Texas,Texas,2020-08-23 02:50:59
178,Data quality assurance,-,89328463665,c409:d1a8:5209:7489:66eb:8918:17ff:f436,Florida,Florida,2020-09-27 02:49:49
179,Building data pipelines,success,89328463666,fe28:43c4:405c:cc6:80e6:771:9add:9a70,Tokyo,Tokyo,2020-09-28 13:56:40
180,Data quality assurance,success,89328463667,1e1:ee72:93f6:dc3d:7795:133d:cf6f:1134,Tokyo,Tokyo,2020-06-23 18:58:11
181,Data quality assurance,success,89328463668,ba84:61eb:614a:43ee:e:f356:c17b:8fb1,Paris,Paris,2020-09-12 17:47:49
182,Loading data into a data warehouse,success,89328463669,af21:f2cd:6516:894:3c44:bc03:f433:134,New York,New York,2020-10-26 00:00:49
183,Loading data into a data warehouse,success,89328463670,6ca2:a9e3:ad0e:ab37:b6b:e730:151d:fc5e,Texas,Texas,2020-04-15 02:36:19
184,Data governance,-,89328463671,3897:e12d:69cd:5b49:cf6f:732c:ed58:65c4,California,California,2020-04-21 09:43:26
185,Extracting data from various sources,success,89328463672,9dcb:a790:4dfe:314d:55a2:6d6:e321:946f,New York,New York,2020-07-22 02:39:42
186,Data quality assurance,success,89328463673,78c4:f53b:38ce:a89b:8a72:e70b:49a2:7b19,Florida,Florida,2020-09-18 15:51:14
187,Designing and implementing data models,-,89328463674,995:6a6c:2535:9c3a:a69c:94af:3b7:3da,Ontario,Ontario,2020-08-07 12:53:13
188,Extracting data from various sources,success,89328463675,3f0e:ec18:482d:3c1e:c60e:3331:d1df:e08d,Tokyo,Tokyo,2020-04-23 18:50:46
189,Data integration,success,89328463676,18f5:7fc9:9977:50c:3c8d:e214:e711:8ca9,Tokyo,Tokyo,2020-07-28 00:40:41
190,Building data pipelines,success,89328463677,525c:b14f:12e2:18e0:633a:795:aff3:a5dd,Paris,Paris,2020-06-22 01:48:47
191,Data integration,failed,89328463678,d021:a800:4cbd:f031:8408:159:f047:c929,Florida,Florida,2020-07-19 16:57:58
192,Data quality assurance,success,89328463679,3d11:3252:d7e3:d436:d523:c04b:94ce:f104,Tokyo,Tokyo,2020-07-23 06:27:52
193,Designing and implementing data models,success,89328463680,cfc5:75d:7ab8:da4b:2787:153e:ebed:2626,Texas,Texas,2020-06-04 05:10:57
194,Data integration,success,89328463681,6d90:a802:6eac:17a7:2a4a:a0b9:1770:6ba2,Florida,Florida,2020-10-08 05:28:26
195,Data governance,success,89328463682,4ff9:c92e:8922:35cc:c958:28eb:c9eb:38e3,Ontario,Ontario,2020-09-19 20:24:47
196,Data governance,success,89328463683,7907:cf49:3ff2:57b7:1da8:7917:8a67:86ed,Tokyo,Tokyo,2020-07-01 08:36:32
197,Data quality assurance,success,89328463684,268:68f:1a55:9671:97f9:14da:5218:d412,California,California,2020-06-30 19:49:35
198,Data quality assurance,success,89328463685,24c2:f0e0:d02b:ae31:1ca0:b106:f9f6:9a9,Tokyo,Tokyo,2020-09-16 19:05:09
